Lake,III,IIIb,IIIc,II,IIb,IIc,I,Ib,Ic,MBT,CBT,MBT/CBT MAAT,MAAT,SW T,BW T,SW pH,BW pH,Depth,MbrGDGTs MAAT,SFS MAAT
Albert,0.085,0.002,0,0.464,0.047,0.004,0.332,0.054,0.012,0.4,0.9,NA,26.8,27.9,27.9,9.0,9.0,58.0,NA,NA
Alice,0.197,0.005,0,0.53,0.057,0.007,0.18,0.018,0.005,0.2,0.98,6.8,9.6,12.6,13.6,7.4,8.4,26.5,8,7.9
Bandasa,0.086,0.002,0.001,0.451,0.033,0.007,0.362,0.047,0.013,0.42,1.01,16.5,12.8,14.8,14.8,8.5,8.5,0.3,16.2,15.2
Batodaa,0.339,0.002,0.001,0.449,0.014,0.003,0.186,0.006,0.001,0.19,1.5,3.7,4.2,7.5,6.1,5.2,5.0,16.0,3.8,4.9
Bigata,0.31,0.002,0.001,0.451,0.012,0.006,0.214,0.004,0.001,0.22,1.62,4.3,4.2,8.3,5.3,5.2,6.0,17.5,5.1,4.5
Bugwagi,0.031,0.005,0.001,0.31,0.127,0.012,0.343,0.15,0.021,0.51,0.37,23.9,24.0,26.5,24.7,8.8,7.2,85.0,24,25.7
Bujuku,0.411,0.004,0.001,0.383,0.029,0.006,0.15,0.013,0.003,0.17,1.1,4.5,4.6,6.9,6.9,6.2,5.9,14.0,2.6,2.8
Bukurungu East,0.258,0.002,0.001,0.464,0.017,0.008,0.243,0.005,0.003,0.25,1.51,6.3,5.4,9.7,6.7,3.8,3.8,17.3,7.3,5.2
Challaa,0.094,0.006,0,0.399,0.092,0.006,0.302,0.088,0.012,0.4,0.59,17.8,23.4,24.6,22.0,8.9,7.3,92.0,17.7,19.6
Chibwera,0.054,0.004,0.001,0.293,0.105,0.011,0.386,0.121,0.026,0.53,0.48,24.3,24.6,26.9,25.4,8.5,8.3,11.7,23.4,23.2
Edwarda,0.121,0.006,0,0.371,0.117,0.02,0.249,0.096,0.02,0.37,0.46,16.8,25.1,26.8,25.8,8.9,8.1,29.0,17.4,NA
Ekikotoa,0.097,0.009,0.002,0.363,0.108,0.011,0.311,0.083,0.017,0.41,0.55,18.4,20.0,24.0,21.7,8.6,7.1,72.0,18.9,17.5
Eldoret Nakuru 1aa,0.092,0,0,0.489,0.006,0,0.409,0.005,0,0.41,1.95,11.5,15.8,14.1,14.1,6.9,6.9,1.0,14.5,13.8
Eldoret Nakuru 2a,0.085,0,0,0.349,0.033,0.004,0.478,0.043,0.007,0.53,1.04,21.3,15.6,14.5,14.5,6.9,6.9,1.5,19.8,17.5
Eldoret Nakuru 3a,0.13,0.003,0,0.514,0.032,0.002,0.288,0.028,0.004,0.32,1.12,11.4,15.7,16.3,16.3,7.0,7.0,1.0,11.9,13.6
Eldoret Nakuru 5a,0.15,0.003,0,0.505,0.024,0.001,0.287,0.027,0.001,0.32,1.18,10.9,14.2,20.8,20.8,6.6,6.6,1.0,11.1,13.2
Eldoret Nakuru 6a,0.123,0.001,0,0.53,0.008,0,0.325,0.012,0.001,0.34,1.64,9.6,13.8,24.9,24.9,6.6,6.6,1.0,11.6,12.7
Eldoret Sigawet Dama,0.115,0.006,0.001,0.419,0.107,0.005,0.28,0.059,0.008,0.35,0.62,15.1,16.8,22.5,22.5,8.5,8.2,1.5,16,16.7
Ellis,0.143,0.011,0.001,0.34,0.152,0.019,0.233,0.082,0.022,0.34,0.39,15.8,10.1,12.6,12.6,7.4,7.4,15.5,17.4,12.9
Emerald Tarn,0.26,0.009,0.001,0.393,0.121,0.015,0.145,0.042,0.013,0.2,0.52,9,5.7,7.4,7.4,6.9,6.9,4.0,9.8,6.4
Enchanted,0.324,0.01,0,0.379,0.105,0.012,0.13,0.03,0.011,0.17,0.58,7.4,6.3,8.2,8.2,7.6,7.6,33.3,7.1,4.7
Gallery Tarn,0.231,0.003,0,0.494,0.063,0.013,0.161,0.032,0.004,0.2,0.84,7.2,5.1,7.1,7.1,7.6,7.6,10.4,7.6,5.9
Georgea,0.045,0.007,0.001,0.295,0.116,0.004,0.406,0.116,0.01,0.53,0.48,24.2,25.1,28.5,25.2,9.8,8.8,4.0,23.8,25.7
Hanging Tarn,0.304,0.008,0.001,0.386,0.084,0.016,0.167,0.027,0.008,0.2,0.7,8.1,5.2,8.6,8.6,7.9,7.9,7.5,7.8,3.3
Harris Tarn,0.296,0.002,0,0.54,0.008,0,0.149,0.004,0.001,0.15,1.76,0.6,3.7,5.5,5.5,7.9,7.9,7.1,2.7,6.1
Hausburg Tarn,0.259,0.007,0,0.411,0.105,0.01,0.154,0.034,0.021,0.21,0.61,8.9,5.6,7.9,7.9,8.4,8.4,10.7,9.2,7.6
Hohnell,0.215,0.018,0.002,0.315,0.214,0.019,0.132,0.065,0.02,0.22,0.2,11.3,6.4,7.9,7.9,7.3,7.3,8.5,14.8,9.1
Hut Tarn,0.255,0.005,0.001,0.454,0.067,0.013,0.181,0.018,0.006,0.2,0.87,7.4,4.9,5.7,5.7,7.6,7.6,7.9,7.8,4.3
Ibada Pool,0.108,0.003,0.001,0.429,0.027,0.004,0.384,0.034,0.009,0.43,1.12,16.3,18.4,15.3,14.8,7.9,8.0,4.6,15.9,14.7
Ibamba,0.023,0.001,0,0.291,0.023,0.003,0.585,0.061,0.014,0.66,1.02,27.3,23.8,25.7,21.9,6.9,6.3,1.2,24.8,22.5
Irene,0.587,0.003,0,0.302,0.009,0,0.097,0.003,0,0.1,1.53,-0.6,1.6,2.6,2.6,5.8,5.8,3.5,-3.3,-0.6
Kacuba,0.047,0.003,0,0.337,0.097,0.011,0.375,0.102,0.028,0.5,0.55,22.6,23.5,26.8,26.8,8.1,8.1,14.5,22.2,21.1
Kaitabarago,0.099,0.009,0.003,0.376,0.124,0.011,0.283,0.082,0.014,0.38,0.5,17.2,19.9,23.1,21.6,8.0,6.0,70.0,18.3,17.2
Kako,0.036,0.003,0,0.342,0.087,0.006,0.407,0.102,0.017,0.53,0.6,23.4,21.2,25.0,23.4,8.2,6.7,29.0,22.6,23.4
Kamsongis Poola,0.411,0.001,0,0.398,0.011,0.001,0.172,0.005,0,0.18,1.54,2.8,1.5,2.1,2.1,5.4,5.4,0.5,2,3.8
Kamweru,0.044,0.002,0,0.369,0.054,0.002,0.446,0.076,0.007,0.53,0.8,22.5,22.5,25.0,23.3,8.7,6.6,44.0,21.2,22.2
Kanganyika,0.261,0.002,0.001,0.451,0.016,0.006,0.253,0.008,0.002,0.26,1.46,7.1,5.1,8.5,7.1,5.3,4.9,25.0,7.6,6.4
Kanyabutetere,0.044,0.004,0.001,0.354,0.078,0.004,0.39,0.103,0.022,0.51,0.61,22.8,22.8,25.6,24.4,8.6,7.8,5.0,21.8,23.9
Kanyamansira,0.037,0.003,0,0.338,0.095,0.005,0.392,0.119,0.012,0.52,0.53,23.5,22.9,25.9,23.7,9.0,7.0,30.0,22.6,25.4
Kanyamukalia,0.067,0.006,0,0.354,0.102,0.007,0.354,0.099,0.012,0.47,0.55,20.9,23.1,26.6,25.0,8.7,8.1,10.2,20.7,21.8
Kanyanchu,0.072,0.007,0.002,0.37,0.109,0.006,0.337,0.081,0.016,0.43,0.57,19.3,22.5,26.2,23.7,8.2,7.9,4.8,19.8,20.2
Karolero,0.042,0.003,0.002,0.335,0.089,0.01,0.39,0.102,0.027,0.52,0.58,23.1,23.5,26.7,25.5,8.2,7.3,15.0,22.5,21.5
Kasenda,0.055,0.006,0.001,0.334,0.109,0.006,0.362,0.111,0.016,0.49,0.5,22.2,22.3,25.8,23.6,8.5,6.9,13.5,21.9,23.8
Kasirya,0.041,0.004,0.001,0.339,0.087,0.007,0.404,0.104,0.014,0.52,0.59,23.2,22.3,26.3,23.2,8.7,6.6,43.0,22.4,23.3
Katalina,0.091,0.003,0.001,0.398,0.042,0.001,0.424,0.038,0.002,0.46,1.01,18.5,14.9,19.5,,6.6,,4.5,17.8,17.3
Katanda,0.05,0.007,0.002,0.315,0.167,0.017,0.294,0.128,0.021,0.44,0.31,21,21.6,24.0,22.6,8.5,7.0,146.0,22.9,21
Katundaa,0.332,0.003,0.001,0.412,0.022,0.005,0.211,0.011,0.004,0.23,1.27,6.4,5.5,8.0,7.5,5.2,5.2,10.5,5.4,5.2
Kibengoa,0.04,0.006,0.001,0.294,0.111,0.005,0.414,0.122,0.009,0.54,0.48,24.8,25.1,27.7,26.5,9.8,9.3,6.0,24.1,26.3
Kifuruka,0.073,0.007,0.001,0.381,0.113,0.005,0.327,0.081,0.013,0.42,0.56,18.8,21.1,23.4,21.9,7.8,7.4,4.2,19.4,20.4
Kikorongo,0.025,0.011,0,0.275,0.041,0.003,0.57,0.065,0.011,0.65,0.9,27.2,25.1,28.8,25.3,9.7,9.6,9.7,25.4,22.7
Kisibendi,0.044,0.002,0,0.439,0.043,0.002,0.418,0.047,0.005,0.47,0.98,18.9,23.3,25.0,22.7,9.3,6.2,4.5,18.7,18.9
Kitere,0.045,0.005,0.001,0.346,0.126,0.005,0.358,0.108,0.008,0.47,0.48,21.6,23.1,26.7,23.8,9.0,7.1,51.0,22,24.2
Kopelloa,0.364,0.001,0.001,0.433,0.009,0.004,0.184,0.003,0.002,0.19,1.72,2.4,4.0,7.6,5.7,5.1,4.9,14.3,3.1,3.4
Kyangaa,0.077,0.007,0.002,0.379,0.133,0.007,0.304,0.084,0.007,0.4,0.5,17.9,23.4,26.9,24.1,9.4,7.3,57.0,19.3,19.8
Kyaningaa,0.075,0.007,0.001,0.338,0.13,0.012,0.304,0.115,0.018,0.44,0.42,20.2,20.1,23.8,21.8,8.3,6.7,58.0,20.9,20.6
Kyasunduka,0.044,0.005,0.002,0.309,0.126,0.005,0.375,0.125,0.009,0.51,0.44,23.4,24.3,24.8,24.2,9.0,8.6,2.0,23.4,25.9
Kyerbwato,0.043,0.005,0.001,0.318,0.101,0.011,0.388,0.112,0.02,0.52,0.52,23.5,22.5,26.1,24.2,8.5,8.0,14.1,23.1,22.5
Kyogaa,0.031,0.005,0.001,0.248,0.076,0.007,0.496,0.117,0.019,0.63,0.59,28.2,25.1,28.0,26.7,8.6,8.3,5.7,26,25.8
Kyogo,0.016,0.001,0,0.294,0.06,0.005,0.52,0.092,0.012,0.62,0.73,27.1,23.5,26.6,26.0,6.9,6.8,3.4,25.1,24.4
Large Hall Tarn,0.217,0.001,0,0.449,0.036,0.009,0.252,0.027,0.007,0.29,1.05,10.3,6.0,8.7,8.7,7.0,7.0,8.2,9.8,8.1
Lewis Tarn,0.339,0.009,0,0.442,0.012,0,0.19,0.008,0,0.2,1.5,4,4.5,4.5,4.5,7.8,7.8,16.3,4,6.4
Limuru 2a,0.075,0.001,0,0.459,0.002,0,0.459,0.004,0,0.46,2.18,12.5,15.2,23.1,23.1,7.5,7.5,2.5,16.4,14.6
Lower Kachopea,0.34,0.003,0.001,0.393,0.042,0.005,0.18,0.029,0.007,0.22,0.9,7.8,5.1,8.4,7.4,6.7,6.0,13.0,5.8,6.7
Lower Kitandaraa,0.42,0.004,0.001,0.353,0.037,0.005,0.155,0.02,0.004,0.18,0.95,5.9,4.3,6.4,5.9,7.0,6.5,12.0,3.1,3.8
Lower Simba,0.219,0.01,0,0.434,0.126,0.009,0.178,0.02,0.005,0.2,0.62,8.6,5.4,6.4,6.4,8.9,8.9,3.0,10.3,7.8
Lugembea,0.061,0.005,0,0.328,0.103,0.008,0.37,0.104,0.021,0.5,0.53,22.3,22.1,24.9,22.6,8.7,7.3,18.0,21.8,22.3
Mahomaa,0.184,0.002,0,0.441,0.01,0.003,0.35,0.008,0.003,0.36,1.65,10.6,10.0,14.2,12.5,5.8,5.1,13.2,11.7,10.3
Mahuhura,0.215,0.002,0,0.423,0.079,0.002,0.172,0.1,0.006,0.28,0.52,12.5,20.5,24.6,23.3,9.0,8.0,70.0,NA,17.8
Marsh Pool IIa,0.362,0.001,0,0.401,0.009,0.001,0.219,0.007,0.001,0.23,1.61,4.7,2.2,5.1,,5.7,5.7,1.0,4.3,5.6
Mbayo,0.056,0.008,0.002,0.328,0.15,0.013,0.303,0.119,0.022,0.44,0.37,20.8,22.5,24.5,23.1,8.6,6.9,35.0,22.1,21.4
Mbugo,0.05,0.006,0.001,0.386,0.098,0.005,0.364,0.083,0.008,0.45,0.62,20,24.5,27.3,26.0,9.6,9.5,2.6,20.4,21.1
Michaelson,0.33,0.008,0,0.41,0.061,0.007,0.154,0.024,0.006,0.18,0.82,6.7,7.5,9.8,9.8,8.0,8.0,25.7,5.6,5.5
Middle Kachope,0.409,0.003,0,0.374,0.026,0.004,0.161,0.018,0.004,0.18,1.08,5.4,5.1,8.7,7.3,6.6,6.6,3.3,3,4.2
Mirambi,0.027,0.003,0.002,0.316,0.109,0.005,0.382,0.144,0.012,0.54,0.44,24.7,23.7,25.7,24.0,9.5,7.8,21.3,24,28.1
Murabayo,0.037,0.004,0.001,0.305,0.088,0.006,0.436,0.102,0.021,0.56,0.59,24.9,23.6,26.7,22.6,8.0,7.2,15.0,23.8,23.7
Murusi,0.032,0.004,0.001,0.323,0.099,0.007,0.401,0.117,0.016,0.53,0.52,24.1,22.5,26.1,22.5,8.5,6.6,60.0,23.4,24.8
Mutindaa,0.187,0.001,0.001,0.46,0.013,0.006,0.319,0.01,0.004,0.33,1.52,9.9,6.2,7.7,,6.3,6.3,1.5,10.9,9
Mwengenyi,0.055,0.005,0.001,0.361,0.119,0.013,0.307,0.111,0.027,0.45,0.46,20.4,21.2,23.9,22.3,8.6,6.9,140.0,21,20.3
Nanyuki Tarn,0.204,0.012,0.002,0.37,0.154,0.028,0.146,0.055,0.029,0.23,0.39,11,5.0,7.3,7.3,7.2,7.2,5.3,13.4,4.1
Narasha (EL NA 4)a,0.141,0.003,0,0.425,0.026,0.001,0.391,0.013,0.001,0.4,1.33,14.2,12.5,16.0,,5.6,,7.2,14.4,13.2
Njarayabana,0.052,0.004,0.001,0.402,0.107,0.004,0.316,0.103,0.009,0.43,0.53,19.3,22.9,25.5,23.4,8.8,7.8,37.0,19.7,22.9
Nkugute,0.036,0.003,0,0.359,0.079,0.004,0.428,0.083,0.009,0.52,0.69,22.6,21.1,23.8,22.0,8.0,6.5,58.0,21.9,22.6
Nkurubaa,0.065,0.008,0.001,0.375,0.105,0.007,0.341,0.083,0.015,0.44,0.58,19.5,20.5,23.8,22.1,8.4,6.6,34.0,20,19.9
Nsuranjaa,0.234,0.001,0.001,0.463,0.015,0.007,0.269,0.005,0.004,0.28,1.56,7.3,5.8,8.8,6.8,4.3,4.3,12.5,8.5,6.3
Ntambia,0.055,0.012,0,0.301,0.068,0.007,0.463,0.074,0.02,0.56,0.73,24.1,23.1,27.2,24.4,9.4,9.3,42.0,23,20.3
Nyabikerea,0.057,0.006,0.001,0.322,0.091,0.005,0.386,0.118,0.013,0.52,0.53,23.3,20.3,25.1,22.4,8.2,6.8,45.0,22.2,24.6
Nyamitezaa,0.091,0.013,0.001,0.296,0.193,0.011,0.267,0.112,0.015,0.39,0.27,19.1,22.3,26.0,23.2,9.0,8.2,34.0,21.6,20.9
Nyamswiga,0.057,0.005,0.001,0.371,0.1,0.007,0.342,0.098,0.018,0.46,0.56,20.5,20.7,23.5,20.5,7.8,7.8,39.5,20.5,21.6
Nyamugosani,0.054,0.005,0.001,0.361,0.123,0.006,0.316,0.116,0.017,0.45,0.45,20.6,22.5,26.8,24.5,8.8,8.5,36.7,21.1,23.6
Nyamusingere,0.046,0.007,0.002,0.312,0.138,0.008,0.347,0.129,0.012,0.49,0.39,22.7,24.5,26.3,24.7,9.1,9.2,4.5,23.2,25.1
Nyantonde,0.06,0.005,0.001,0.371,0.12,0.008,0.327,0.096,0.012,0.43,0.51,19.6,21.2,23.7,21.3,8.8,6.9,180.0,20.4,20.8
Nyungua,0.053,0.005,0,0.315,0.1,0.003,0.346,0.169,0.009,0.52,0.39,24.3,22.6,24.7,22.3,9.3,7.6,26.0,22.7,NA
Oblong Tarn,0.297,0.007,0,0.427,0.078,0.009,0.152,0.021,0.008,0.18,0.77,6.9,5.6,8.4,8.4,7.1,7.1,3.4,6.7,5.3
Ol Bolosata,0.201,0.005,0.001,0.473,0.076,0.003,0.198,0.039,0.005,0.24,0.77,9.6,14.8,20.6,,9.0,,2.0,9.9,11.8
Ruhandika,0.432,0.003,0,0.4,0.012,0,0.149,0.005,0,0.15,1.51,1.9,2.4,3.9,3.9,6.1,6.1,3.0,0.9,3.6
Rutundu,0.111,0.009,0.002,0.343,0.13,0.028,0.252,0.088,0.038,0.38,0.44,17.4,12.0,14.7,14.7,7.6,7.6,10.8,18.9,10.3
Sacreda,0.047,0.003,0,0.32,0.008,0.001,0.611,0.009,0.002,0.62,1.75,21.9,14.9,16.7,16.7,5.8,5.8,5.0,22.6,17.5
Sakaa,0.11,0.01,0.001,0.346,0.096,0.006,0.331,0.083,0.018,0.43,0.58,19.2,20.0,22.7,20.7,7.6,6.3,8.0,18.8,19.4
Small Hall Tarn,0.27,0.002,0,0.45,0.032,0.005,0.22,0.017,0.004,0.24,1.13,7.8,6.0,9.3,9.3,7.3,7.3,2.8,7.2,7.2
Spekea,0.414,0.002,0.001,0.404,0.013,0.002,0.156,0.008,0.001,0.16,1.42,2.9,3.0,5.8,5.3,5.9,5.2,18.0,1.7,3.4
Square Tarn,0.206,0.002,0,0.57,0.01,0.002,0.205,0.004,0.001,0.21,1.75,3.3,6.0,8.2,8.2,7.7,7.7,3.0,6.1,8.2
Tanganyika,0.1,0.006,0.001,0.355,0.088,0.019,0.313,0.084,0.034,0.43,0.59,19.1,23.8,25.7,24.5,9.1,8.8,110.0,19,NA
Teleki Tarn,0.15,0.021,0.002,0.308,0.243,0.022,0.177,0.061,0.016,0.25,0.2,13,5.8,4.9,4.9,8.4,8.4,7.9,NA,9.7
Thompson,0.342,0.008,0,0.378,0.071,0.007,0.163,0.023,0.007,0.19,0.76,7.5,4.9,5.8,4.9,7.6,7.6,4.8,6.2,5.3
Upper Kachopea,0.369,0.002,0.001,0.42,0.017,0.004,0.178,0.009,0.001,0.19,1.36,4.2,4.9,7.8,6.4,6.7,6.2,12.0,3.3,4.3
Upper Kitandara,0.478,0.004,0.001,0.351,0.028,0.002,0.12,0.014,0.002,0.14,1.05,3.4,4.9,5.8,4.9,7.3,6.9,14.5,0.4,2.7
Upper Simba,0.196,0.004,0.001,0.504,0.052,0.008,0.216,0.015,0.003,0.23,1.03,8,4.5,7.1,7.1,7.8,7.8,5.1,9,7.5
Veggi Tarn,0.408,0.004,0,0.402,0.029,0.003,0.135,0.015,0.003,0.15,1.08,4,6.0,9.7,9.7,7.2,7.2,1.5,2,3.9
Victoriaa,0.066,0.004,0,0.359,0.083,0.006,0.354,0.107,0.023,0.48,0.57,21.5,23.3,25.5,24.5,8.2,7.9,76.0,20.5,22.6
Wandakara,0.062,0.006,0.003,0.353,0.118,0.006,0.361,0.083,0.009,0.45,0.55,20.3,23.1,25.0,23.2,8.8,7.9,12.0,20.9,20.9
Wankenzi,0.059,0.006,0.004,0.35,0.125,0.006,0.362,0.082,0.008,0.45,0.54,20.3,23.1,24.8,23.0,8.8,6.5,90.0,21.2,21
